101.65,8.77,12.31
103.23,9.91,10.79
100.69,8.25,7.21
95.06,10.15,6.35
102.42,13.53,13.62
97.95,6.32,9.07
100.82,10.8,7.46
96.41,9.96,8.07
101.56,9.55,11.79
96.59,8.03,9.71
7.93,99.51,8.17
11.55,105.22,10.3
9.61,100.55,15.98
6.04,99.99,7.22
8.79,99.78,6.68
12.22,100.61,11.23
9.4,101.96,9.69
10.41,104.54,11.79
6.72,101.36,11.44
8.24,102.68,7.82
7.3,12.66,99.42
7.01,10.9,99.2
10.99,11.35,98.84
11.77,6.87,97.37
13.02,12.46,99.88
7.69,10.09,100.34
9.32,9.24,99.45
11.12,9.74,102.59
6.94,5.3,101.37
11.4,11.74,98.93
